Day,Light (kWh),Fan (kWh),Total Energy (kWh)
1,30.0,264.0,294.0
2,32.5,300.0,332.5
3,25.0,360.0,385.0
4,42.5,264.0,306.5
5,30.0,300.0,330.0
6,40.0,324.0,364.0
7,32.5,288.0,320.5
8,32.5,372.0,404.5
9,35.0,228.0,263.0
10,27.5,300.0,327.5
11,25.0,288.0,313.0
12,27.5,312.0,339.5
13,35.0,192.0,227.0
14,30.0,288.0,318.0
15,32.5,360.0,392.5
16,17.5,252.0,269.5
17,20.0,324.0,344.0
18,25.0,360.0,385.0
19,30.0,228.0,258.0
20,32.5,264.0,296.5
21,27.5,360.0,387.5
22,40.0,324.0,364.0
23,37.5,276.0,313.5
24,30.0,240.0,270.0
25,22.5,300.0,322.5
26,27.5,312.0,339.5
27,25.0,228.0,253.0
28,35.0,228.0,263.0
29,27.5,276.0,303.5
30,22.5,288.0,310.5
31,30.0,240.0,270.0
32,25.0,252.0,277.0
33,35.0,228.0,263.0
34,20.0,276.0,296.0
35,30.0,264.0,294.0
36,27.5,336.0,323.5
37,27.5,324.0,301.5
38,27.5,288.0,315.5
39,17.5,240.0,257.5
40,25.0,312.0,337.0
41,27.5,300.0,327.5
42,30.0,252.0,282.0
43,35.0,264.0,299.0
44,30.0,312.0,342.0
45,32.5,300.0,332.5
46,35.0,252.0,287.0
47,37.5,264.0,301.5
48,15.0,276.0,291.0
49,32.5,216.0,248.5
50,32.5,276.0,308.5
51,25.0,264.0,289.0
52,22.5,294.0,316.5
53,32.5,240.0,272.5
54,30.0,216.0,246.0
55,22.5,288.0,310.5
56,20.0,300.0,320.0
57,32.5,282.0,314.5
58,37.5,264.0,301.5
59,27.5,288.0,315.5
60,40.0,288.0,328.0
