Day,Light (kWh),Fan (kWh),Total Energy (kWh)
1,32.0,300.0,332.0
2,28.5,320.0,348.5
3,30.0,280.0,310.0
4,34.5,300.0,334.5
5,29.0,312.0,341.0
6,30.5,288.0,318.5
7,27.5,296.0,323.5
8,28.0,320.0,348.0
9,33.5,290.0,323.5
10,31.0,315.0,346.0
11,29.0,280.0,309.0
12,33.0,300.0,333.0
13,28.5,305.0,333.5
14,31.5,290.0,321.5
15,32.0,325.0,357.0
16,30.0,270.0,300.0
17,28.5,320.0,348.5
18,31.0,288.0,319.0
19,30.5,290.0,320.5
20,32.5,298.0,330.5
21,30.0,320.0,350.0
22,33.5,305.0,338.5
23,28.5,278.0,306.5
24,32.0,285.0,317.0
25,28.0,320.0,348.0
26,15.5,320.0,335.5
27,18.0,315.0,333.0
28,20.0,288.0,308.0
29,16.0,290.0,306.0
30,21.5,295.0,316.5
31,23.0,275.0,298.0
32,19.0,280.0,299.0
33,24.0,288.0,312.0
34,15.0,290.0,305.0
35,25.0,300.0,325.0
36,18.5,290.0,308.5
37,22.0,280.0,302.0
38,23.0,275.0,298.0
39,20.0,310.0,330.0
40,30.0,290.0,320.0
41,28.5,315.0,343.5
42,26.0,320.0,346.0
43,31.0,280.0,311.0
44,28.5,330.0,358.5
45,30.0,298.0,328.0
46,32.5,285.0,317.5
47,34.0,320.0,354.0
48,28.0,270.0,298.0
49,26.5,290.0,316.5
50,30.0,310.0,340.0
51,23.5,320.0,343.5
52,27.0,270.0,297.0
53,30.0,295.0,325.0
54,25.0,320.0,345.0
55,23.0,300.0,323.0
56,26.5,330.0,356.5
57,32.5,310.0,342.5
58,30.0,305.0,335.0
59,28.0,320.0,348.0
60,33.0,310.0,343.0
